concept;prefLabel;altLabel;relatedMatch;exactMatch
http://example.org/skos/ELB_concept_1;anthology;Antologia', 'antologiat', 'antologie';;https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph118523', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1000177', 'http://www.yso.fi/onto/yso/p10123', 'http://www.wikidata.org/entity/Q105420'
http://example.org/skos/ELB_concept_2;article;artikkeli', 'artikkelit', 'Artykuły', 'články';https://data.bn.org.pl/api/institutions/authorities.json?id=1000000693616', 'http://www.yso.fi/onto/yso/p18946', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3581369', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3020715', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3581376', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3596007', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph123338', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3581371', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph128084', 'http://www.yso.fi/onto/yso/p1018', 'http://www.yso.fi/onto/yso/p20005', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3595965', 'http://www.yso.fi/onto/yso/p10115', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3595889', 'http://www.yso.fi/onto/yso/p20342', 'http://www.wikidata.org/entity/Q871232', 'http://www.wikidata.org/entity/Q30070590', 'http://www.wikidata.org/entity/Q5707594', 'http://www.wikidata.org/entity/Q267628', 'http://www.wikidata.org/entity/Q191067', 'http://www.wikidata.org/entity/Q10436275';https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph128186', 'https://data.bn.org.pl/api/institutions/authorities.json?id=2272831', 'http://www.wikidata.org/entity/Q191067'
http://example.org/skos/ELB_concept_3;autobiographical literature;autobiografická literatura', 'Literatura autobiograficzna';;
http://example.org/skos/ELB_concept_4;autobiographical novel;Autobiografický román', 'Novela autobiográfica', 'omaelämäkerrallinen romaani', 'Powieść  autobiograficzna', 'Powieść autobiograficzna';;https://data.bn.org.pl/api/institutions/authorities.json?id=3643330'
http://example.org/skos/ELB_concept_5;autobiography;Autobiografia', 'Autobiografía', 'Autobiografías', 'autobiografie', 'Autobiografie', 'autobiographies', 'omaelämäkerrallisuus';;https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph114096', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3581528', 'http://www.yso.fi/onto/yso/p16155', 'http://www.wikidata.org/entity/Q4184'
http://example.org/skos/ELB_concept_6;ballad;balada', 'Baladas', 'ballads';https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph138714', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph118731', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph222837', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph451052', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3573418', 'http://www.yso.fi/onto/yso/p38458', 'http://www.wikidata.org/entity/Q1221179', 'http://www.wikidata.org/entity/Q116690343', 'http://www.wikidata.org/entity/Q241501', 'http://www.wikidata.org/entity/Q182659';
http://example.org/skos/ELB_concept_7;biographical literature;biografická literatura', 'literatura životopisná';;
http://example.org/skos/ELB_concept_8;biographical novel;biografické romány', 'elämäkertaromaanit', 'životopisné romány';;http://www.yso.fi/onto/yso/p17968', 'http://www.wikidata.org/entity/Q11163999', 'http://www.wikidata.org/entity/Q131539'
http://example.org/skos/ELB_concept_9;biography;Biografia', 'Biografía', 'Biografías', 'biografie', 'Biografie', 'biografistika', 'biography', 'elämäkerrat';https://data.bn.org.pl/api/institutions/authorities.json?id=1007271', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1250305', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3581397';http://www.yso.fi/onto/yso/p11597', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph114155', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph1017314', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1000510', 'http://www.wikidata.org/entity/Q36279', 'http://www.wikidata.org/entity/Q9171867'
http://example.org/skos/ELB_concept_10;booklet;Broszura';;https://data.bn.org.pl/api/institutions/authorities.json?id=3742506'
http://example.org/skos/ELB_concept_11;catalog;Katalog', 'katalog';https://data.bn.org.pl/api/institutions/authorities.json?id=1002886', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph202208', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph137495', 'https://data.bn.org.pl/api/institutions/authorities.json?id=2467409', 'https://data.bn.org.pl/api/institutions/authorities.json?id=2375619', 'https://data.bn.org.pl/api/institutions/authorities.json?id=2434037', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1190794', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph135450', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1002882', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph397761', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph397760', 'https://data.bn.org.pl/api/institutions/authorities.json?id=2371203', 'https://data.bn.org.pl/api/institutions/authorities.json?id=2370396', 'http://www.wikidata.org/entity/Q47114558', 'http://www.wikidata.org/entity/Q1991865';https://data.bn.org.pl/api/institutions/authorities.json?id=1002878'
http://example.org/skos/ELB_concept_12;children's literature;dětská literatura', 'lastenkirjallisuus', 'Literatura dla dzieci', 'Literatura dziecięca', 'Literatura infantil';https://data.bn.org.pl/api/institutions/authorities.json?id=1003648', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph138316', 'https://datos.bne.es/tema/XX544201', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph119713', 'http://www.wikidata.org/entity/Q11163999', 'http://www.wikidata.org/entity/Q131539';https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph572587', 'http://www.yso.fi/onto/yso/p4742', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1003648'
http://example.org/skos/ELB_concept_13;children's literature, youth literature;;;
http://example.org/skos/ELB_concept_14;children's lyric;"""children's lyric""";;
http://example.org/skos/ELB_concept_15;children's novel;;;
http://example.org/skos/ELB_concept_16;children's poetry;dětská poezie', 'Poezja dziecięca';http://www.yso.fi/onto/yso/p12209';https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph202218'
http://example.org/skos/ELB_concept_17;children's song;"""children's songs"", 'lastenlaulut'";https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph321499', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph119736', 'http://www.wikidata.org/entity/Q493169';http://www.yso.fi/onto/yso/p18715', 'http://www.wikidata.org/entity/Q493169'
http://example.org/skos/ELB_concept_18;children's story;Opowiadanie dziecięce';;
http://example.org/skos/ELB_concept_19;comedy;Comedia', 'Comedias', 'Komedia', 'komediat', 'komedie', 'komiikka';http://www.yso.fi/onto/yso/p13352', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph120195', 'http://www.yso.fi/onto/yso/p19030', 'http://www.yso.fi/onto/yso/p9244', 'https://datos.bne.es/tema/XX530763', 'https://data.bn.org.pl/api/institutions/authorities.json?id=2270873', 'http://www.yso.fi/onto/yso/p27335', 'https://data.bn.org.pl/api/institutions/authorities.json?id=2202320', 'http://www.yso.fi/onto/yso/p9237', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3801607', 'https://data.bn.org.pl/api/institutions/authorities.json?id=2522297', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph114536', 'http://www.yso.fi/onto/yso/p21691', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3577422', 'http://www.wikidata.org/entity/Q860626', 'http://www.wikidata.org/entity/Q170238', 'http://www.wikidata.org/entity/Q157443', 'http://www.wikidata.org/entity/Q11894225', 'http://www.wikidata.org/entity/Q58209506', 'http://www.wikidata.org/entity/Q145806';https://data.bn.org.pl/api/institutions/authorities.json?id=1003028', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph121740', 'http://www.yso.fi/onto/yso/p9237', 'http://www.yso.fi/onto/yso/p13876', 'http://www.wikidata.org/entity/Q58209506''http://www.wikidata.org/entity/Q40831'
http://example.org/skos/ELB_concept_20;comic book;;https://data.bn.org.pl/api/institutions/authorities.json?id=3643842', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3648018', 'http://www.yso.fi/onto/yso/p15468', 'https://data.bn.org.pl/api/institutions/authorities.json?id=35832800', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3648020', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1003031', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3643835', 'http://www.yso.fi/onto/yso/p22260', 'http://www.wikidata.org/entity/Q1114461', 'http://www.wikidata.org/entity/Q1760610';
http://example.org/skos/ELB_concept_21;crime literature;kriminální literatura';http://www.yso.fi/onto/yso/p5088', 'http://www.wikidata.org/entity/Q5937792';
http://example.org/skos/ELB_concept_22;crime novel;rikosromaanit';;
http://example.org/skos/ELB_concept_23;crime story;;;
http://example.org/skos/ELB_concept_24;detective literature;Literatura detektywistyczna';https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph119402', 'http://www.yso.fi/onto/yso/p5086', 'http://www.wikidata.org/entity/Q186424', 'http://www.wikidata.org/entity/Q20665028';
http://example.org/skos/ELB_concept_25;detective novel;salapoliisiromaani', 'salapoliisiromaani t', 'salapoliisiromaanit';;
http://example.org/skos/ELB_concept_26;detective story;detective stories', 'detective story', 'detektivky';;
http://example.org/skos/ELB_concept_27;diary;deníky', 'diáře', 'päiväkirjat', 'Pamiętnik';https://data.bn.org.pl/api/institutions/authorities.json?id=1007271', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1000000024602', 'http://www.yso.fi/onto/yso/p17967', 'http://www.yso.fi/onto/yso/p5104', 'http://www.wikidata.org/entity/Q11885722';https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph321898', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph1016588', 'http://www.yso.fi/onto/yso/p2717', 'http://www.wikidata.org/entity/Q4174106', 'http://www.wikidata.org/entity/Q185598'
http://example.org/skos/ELB_concept_28;digital literature;digitaalinen kirjallisuus', 'digitální literatura';;
http://example.org/skos/ELB_concept_29;drama;draama', 'drama', 'Dramat';https://data.bn.org.pl/api/institutions/authorities.json?id=3637387', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph122208', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph608671', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph120070', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1001129', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph214708', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph128269', 'http://www.yso.fi/onto/yso/p15814', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph538778', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph198679', 'http://www.yso.fi/onto/yso/p27510', 'https://data.bn.org.pl/api/institutions/authorities.json?id=2701431', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph262186', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph125015', 'https://data.bn.org.pl/api/institutions/authorities.json?id=36063228', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph128178', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph489483', 'http://www.yso.fi/onto/yso/p20480', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph514339', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1809443', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph118377', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph286373', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph118436', 'http://www.yso.fi/onto/yso/p5666', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph187620', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph128179', 'http://www.yso.fi/onto/yso/p21866', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph122700', 'http://www.yso.fi/onto/yso/p26500', 'http://www.yso.fi/onto/yso/p37992', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph125668', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph202219', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph318997', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph890118', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph126236', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph541633', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph171144', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph121359', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph121859', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph124290', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph184252', 'https://data.bn.org.pl/api/institutions/authorities.json?id=2174012', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph553919', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph191053', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph120347', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph191902', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph175746', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph123326', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph118555', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph233627', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph269113', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph121240', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph121296', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph294134', 'http://www.yso.fi/onto/yso/p21867', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph281909', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph803833', 'http://www.yso.fi/onto/yso/p20873', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph125121', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph191062', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph168240', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph120900', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1023135', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph202916', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph114196', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph930161', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph114054', 'http://www.yso.fi/onto/yso/p11844', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph128247', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph118799', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph136570', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph123468', 'http://www.yso.fi/onto/yso/p25594', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph123506', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph281914', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph125690', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph224808', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph746347', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph128137', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph201914', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph198680', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph136863', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph656717', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1208642', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph413860', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph125301', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph120369', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph550958', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph162921', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph114794', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph303255', 'http://www.yso.fi/onto/yso/p6422', 'http://www.yso.fi/onto/yso/p12891', 'http://www.yso.fi/onto/yso/p14634', 'http://www.wikidata.org/entity/Q2635894', 'http://www.wikidata.org/entity/Q4065157', 'http://www.wikidata.org/entity/Q115156526', 'http://www.wikidata.org/entity/Q2247727', 'http://www.wikidata.org/entity/Q2527498', 'http://www.wikidata.org/entity/Q62066928', 'http://www.wikidata.org/entity/Q25379', 'http://www.wikidata.org/entity/Q7168625', 'http://www.wikidata.org/entity/Q110593089', 'http://www.wikidata.org/entity/Q482612', 'http://www.wikidata.org/entity/Q112787492', 'http://www.wikidata.org/entity/Q4781537', 'http://www.wikidata.org/entity/Q191489', 'http://www.wikidata.org/entity/Q39894018', 'http://www.wikidata.org/entity/Q11856314', 'http://www.wikidata.org/entity/Q6188035', 'http://www.wikidata.org/entity/Q115135883', 'http://www.wikidata.org/entity/Q115156383', 'http://www.wikidata.org/entity/Q130232';https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph119598', 'http://www.wikidata.org/entity/Q25372'
http://example.org/skos/ELB_concept_30;dramatic;;http://www.yso.fi/onto/yso/p38371', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph119602', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph191060', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph119500', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph1063864', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph125443', 'https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph119603', 'http://www.wikidata.org/entity/Q1147752', 'http://www.wikidata.org/entity/Q115156384', 'http://www.wikidata.org/entity/Q2416230', 'http://www.wikidata.org/entity/Q7777494', 'http://www.wikidata.org/entity/Q2339879';
http://example.org/skos/ELB_concept_31;electronic literature;elektronická literatura', 'Literatura elektroniczna';;https://data.bn.org.pl/api/institutions/authorities.json?id=2897866'
http://example.org/skos/ELB_concept_32;epic;epics', 'epopej', 'epopeje', 'eposy';http://www.yso.fi/onto/yso/p6478', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1001432', 'http://www.yso.fi/onto/yso/p28550', 'http://www.yso.fi/onto/yso/p932', 'http://www.wikidata.org/entity/Q1521512', 'http://www.wikidata.org/entity/Q722600', 'http://www.wikidata.org/entity/Q37484';
http://example.org/skos/ELB_concept_33;epic poetry;Poesía épica';https://data.bn.org.pl/api/institutions/authorities.json?id=3833787', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3833781', 'https://data.bn.org.pl/api/institutions/authorities.json?id=2550940', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1019807', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1000000000783', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3705222', 'https://data.bn.org.pl/api/institutions/authorities.json?id=3592502', 'https://data.bn.org.pl/api/institutions/authorities.json?id=1010764';
http://example.org/skos/ELB_concept_34;epistolary novel;kirjeromaanit';;http://www.yso.fi/onto/yso/p16719'
http://example.org/skos/ELB_concept_35;erotic literature;erotická literatura', 'Literatura erótica';http://www.yso.fi/onto/yso/p28097', 'http://www.wikidata.org/entity/Q747483';https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph119987', 'http://www.wikidata.org/entity/Q747483'
http://example.org/skos/ELB_concept_36;erotic novel;Powieść erotyczna', 'román erotický';;https://data.bn.org.pl/api/institutions/authorities.json?id=2720992'
http://example.org/skos/ELB_concept_37;erotic poetry;erotická poezie';https://data.bn.org.pl/api/institutions/authorities.json?id=3727395';https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph202226', 'http://www.wikidata.org/entity/Q56239988'
